S/No,CASE/CRIME INCIDENCES(HOMICIDES),Totals Cases,Cases under Inquiry,Not Detected/NPW,Cases taken to court,Cases submitted toDPP/RSA,Cases with convictions,Cases with Acquittals,Cases Dismissed,Cases pending in Court,Male Adult,Male Juven,Female Adult,Female Juven,Male Adult,Male Juven,Female Adult,Female Juven,Acquitted,Discharged,Awaiting Trial,Male Adult,Male Juven,Female Adult,Female Juven,Death,Fined,Probation Bound Over,CAUTION,COMM WORK,Fines  Awarded (UgShs),Male Adult,Male Juven,Female Adult,Female Juven,Lost,Recovered
36,Shop Breaking,6867,2256,1511,3100,3906,851,50,641,1558,3286,141,82,11,876,43,27,1,76,699,1798,735,9,13,,,30,2,62,96,13768000,5126,54,1712,8,14896936673,1449951500
37,Office Breaking,3368,1038,693,1637,1933,471,32,321,813,1641,98,64,6,449,23,16,,52,364,905,355,4,12,,,16,1,38,62,6288000,2482,20,833,29,3935352209,545307100
38,Other Breakings (garage etc ),2000,670,390,940,1224,231,21,181,507,1128,42,24,4,267,7,6,,31,203,684,226,5,5,,,6,1,10,27,6800000,1623,11,421,16,5055172360,705691500
,Sub Total(Breakings),447,223,84,140,210,37,,23,80,185,4,7,,40,1,,,,26,129,29,1,,,,3,,3,5,150000,369,1,77,8,3956916645,410679400
,(d) Thefts,1336,368,264,704,818,192,10,145,357,870,35,19,2,218,10,2,,34,181,481,179,4,1,,,8,,15,23,2200000,1051,3,272,3,9121558001,781194100
39,Theft of Motor Vehicles,14018,4555,2942,6521,8091,1782,113,1311,3315,7110,320,196,23,1850,84,51,1,193,1473,3997,1524,23,31,,,63,4,128,213,29206000,10650,89,3315,64,36965935888,3892823600
40,Theft of Motor Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Theft from M/Vs (Spares),1200,682,265,253,545,51,6,33,163,305,,5,,59,,4,,8,37,202,40,,3,,,7,,11,2,23800000,1064,1,151,,31128827744,8385794744
42,Theft from M/Vs (property),4612,2144,956,1512,2195,341,28,228,915,1664,18,17,,355,8,2,1,39,243,1051,301,4,1,,,20,,33,7,23850000,4278,15,316,1,13101107265,3611562000
43,Theft of Bicycles,1093,467,259,367,515,105,6,48,208,410,12,5,,110,3,2,,8,52,252,79,1,1,,,5,,10,19,1600000,961,5,115,8,28510074488,463875000
44,Theft of Computers(Laptops),597,238,171,188,262,57,4,30,97,207,5,2,,65,,,,4,35,110,48,,,,,5,,2,10,1400000,508,,93,,2246998384,275770200
45,Thefts of Mobile Phones,1028,293,277,458,502,178,6,91,183,451,22,6,1,171,9,1,1,8,92,198,139,5,1,1,,11,,11,14,4700000,898,16,106,2,372666726,90301100
46,Theft of Bank Cash in Transit,796,331,235,230,358,70,4,38,118,233,11,10,,73,3,2,,5,38,133,53,1,,,,8,,7,9,3100000,606,2,224,2,1484472952,265351352
47,Thefts of Cash,6205,2245,1875,2085,2896,730,36,380,942,1953,108,144,12,657,45,53,7,43,382,1030,468,12,24,1,,41,1,73,142,8460000,4150,57,2011,37,2512992663,687179643
48,Cattle Stealing,,,,,,,,,,,,3,,11,,,,,1,9,9,,,,,2,,,,5600000,20,,15,,58269000,9875000
49,Theft of TelecomElectrical & Comm Items,7079,2791,1890,2398,3414,757,52,378,1211,2232,55,363,29,720,15,91,17,65,428,1343,502,6,49,6,,62,2,91,125,95120000,4805,26,2244,16,31052399962,4271332566
50,Theft of Railway Slippers/Material,7161,2006,1641,3514,3952,1132,48,682,1652,4075,71,97,2,1233,20,33,2,57,801,2099,976,8,17,,,70,,75,141,43380002,5669,15,1355,3,9334239250,2929056600
51,Receiving & Retaining(Stolen Prop),127,44,33,50,77,15,1,8,26,94,,4,,28,,,,2,41,27,10,,,,,2,,1,15,500000,103,1,24,,617536000,44894600
52,Theft (property snatchingBagsNecklessetc),5,2,1,2,2,1,,,1,2,,,,1,,,,,12,11,,,,,,,,,1,,14,,,,44350000,
53,Theft of all  kinds (General ),415,112,83,220,261,70,3,38,109,226,3,8,,78,1,2,1,4,36,115,53,,1,1,,2,,7,18,1000000,366,,44,,851543200,201431200
,Sub Total(Thefts),80,26,11,43,49,19,4,7,13,50,3,3,,18,2,1,,4,7,24,16,1,,,,2,,2,,1200000,55,,28,,38138300,6815000
,(e) Robberies,31135,9391,8311,13433,16977,5052,208,2456,5717,13097,517,795,90,4987,211,251,29,297,2551,6173,3736,100,123,7,,185,17,442,861,69348004,23117,209,7119,112,44714306227,10400278297
54,Aggravated Robbery(Motor Cycles),61533,20772,16008,24753,32005,8578,406,4417,11355,24999,825,1462,134,8566,317,442,58,544,4756,12737,6430,138,220,16,,422,20,765,1364,283058006,46614,347,13847,181,166067922161,31643517302
55,Aggravated Robbery(Motor Vehicles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Aggravated Robbery(Cash),481,313,66,102,196,6,2,2,92,158,4,,,5,,,,2,3,152,2,,,,,3,,,,2200000,451,1,26,,1629342000,255261000
57,Aggravated   Robbery(general),98,60,30,8,30,,,,8,10,,,,,,,,,,10,,,,,,,,,,,89,,9,,1307152450,271330000
58,Cattle Rustling,390,231,58,101,161,1,2,4,94,155,,2,,1,,,,2,5,149,1,,,,,,,,,,326,2,74,,8136488540,247191000
59,Simple Robbery(general),1212,630,206,376,581,17,1,13,345,543,11,10,,34,,2,,1,19,508,30,,1,,,1,,,4,200000,1013,3,208,1,6053008099,943451000
,Sub Total(Robberies),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(f) Assaults,5173,2166,1475,1532,2170,309,14,251,958,1755,92,37,5,352,20,10,4,17,316,1170,262,8,6,1,,16,1,44,48,10846000,3941,42,1165,3,8266203900,953609800
60,Aggravated Assault(Acid cases),7354,3400,1835,2119,3138,333,19,270,1497,2621,107,49,5,392,20,12,4,22,343,1989,295,8,7,1,,20,1,44,52,13246000,5821,48,1482,4,25392194989,2670842800
61,Aggravated Assaults(general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Common Assaults,4,2,,2,2,1,,,1,2,,,,1,,,,,,1,1,,,,,,,,,,1,,5,,,
,Sub Total(Assaults),6584,2353,1436,2795,3241,824,51,358,1562,2467,64,373,5,729,20,151,2,73,382,1552,501,4,68,2,,85,2,108,130,43120037,4488,133,2031,57,625000,
,(g) Other Crimes in General,29735,12442,11835,5458,8100,1678,127,801,2852,4993,113,927,21,1567,31,269,7,167,881,3132,900,4,138,1,,92,9,234,489,26130514,17235,775,10176,297,,
63,Threatening Violence,36323,14797,13271,8255,11343,2503,178,1159,4415,7462,177,1300,26,2297,51,420,9,240,1263,4685,1402,8,206,3,,177,11,342,619,69250551,21724,908,12212,354,625000,
65,Human Trafficking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Abduction/Kidnap,13357,5223,4477,3657,5192,1024,86,653,1894,3647,29,271,4,1003,9,64,4,104,658,2109,643,6,40,,,31,3,140,216,8160117,8600,103,4424,51,60000,
67,Arson (General),206,98,58,50,117,9,,8,33,43,1,16,,8,,3,,1,11,37,2,,1,,,6,,,2,2300000,60,7,117,28,21500000,3500000
68,Malicious Damage to Property,507,227,202,78,165,16,,10,52,75,2,15,,13,,4,,,15,60,10,,4,,,1,,1,1,400002,167,29,211,109,400000,
69,Malicious Damage to School/Gvt Property,2196,885,584,727,871,86,23,115,503,743,12,107,3,73,2,14,,40,107,629,56,1,9,,,3,1,11,7,6700036,1453,37,556,25,1002328650,64478000
70,Escapes from Lawful Custody,8339,3409,2723,2207,3362,586,75,354,1192,2703,72,225,3,596,28,45,1,76,394,1863,410,8,21,,,44,3,79,105,10300045,5926,93,2215,24,1441291000,97843000
71,Rescues from Lawful Custody,113,38,28,47,54,17,,11,19,52,3,,,20,3,2,,5,29,4,18,2,,,,4,,1,,600000,95,,7,,7431000,215000
72,Examination Leakage and Stealing,1557,292,172,1093,1114,750,4,74,265,1050,17,29,31,743,7,26,,5,80,266,699,11,20,,,6,,14,26,1000022,1305,9,101,,5764320,
73,Piracy,26,6,7,13,17,6,,3,4,12,,1,,7,,,,,3,3,7,,,,,,,,,,26,,,,,
74,Criminal Tresspass,31,17,5,9,13,,,1,8,14,,1,,,,,,,3,12,,,,,,,,,,,28,,2,,,
75,Domestic Violence,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,4,,,
76,Att Suicide,9500,3959,3111,2430,4013,708,60,399,1263,2544,58,213,15,727,13,50,1,65,423,1551,426,1,24,,,35,1,108,196,5610090,6953,34,2290,12,21392000,3020000
77,Att Killing (by shooting),13916,5143,7627,1146,2362,317,35,174,620,1046,11,103,,301,,22,,36,171,630,169,,6,,,4,4,77,63,1400023,2873,541,10478,558,,
78,Att Killing( other than shooting),293,101,132,60,72,24,1,11,24,55,,4,,23,,2,,1,13,20,20,,,,,1,,3,1,300006,169,1,89,5,,
79,other penal code offences (not categorized),72,42,11,19,30,1,,,18,23,,1,,1,,,,,2,21,,,,,,1,,,,,66,1,11,,,
,Sub Total(Other Crimesgen),740,246,135,359,417,68,7,30,254,388,12,36,2,63,2,6,,6,33,328,57,,3,,,4,1,3,3,7000003,559,13,158,5,,
,TERRORISM,13570,5011,4301,4258,6048,1509,67,629,2053,6028,122,627,24,2672,49,256,9,91,854,2870,1532,20,103,6,,112,10,491,709,29655105,9928,244,2983,215,6923825490,949484420
80,Terrorism,64426,24700,23573,16153,23847,5121,358,2472,8202,18423,339,1649,82,6250,113,494,15,430,2796,10395,4049,49,231,6,,252,23,928,1329,73425449,38252,1112,23645,1032,9423992460,1118540420
81,Death By CBRN(ChemicalNuclear Wpns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Total(Terrorism),16,13,,3,8,,,,3,4,,,,,,,,,,4,,,,,,,,,,,12,,,,,
,POLITICAL/MEDIA OFFENCES,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,12,,,,,
82,Incitement to Violence,16,13,,3,8,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Promoting Sectariasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Election Offences,181,81,66,34,67,4,1,7,22,126,1,,,18,,,,1,6,102,,,,,,,,,18,,171,,11,,,
85,Treason,4,3,,1,2,,,,1,3,,,,,,,,,,3,,,,,,,,,,,4,,,,,
,Sub Total(Political/Media),249,97,110,42,101,5,2,11,24,76,1,4,,8,1,,,4,15,53,,,,,,2,,3,4,1200000,215,1,25,,,
,CORRUPTION,8,5,,3,4,,,,3,45,,4,,,,,,,,49,,,,,,,,,,,6,,,,,
86,Prevention of Corruption Act,442,186,176,80,174,9,3,18,50,250,2,8,,26,1,,,5,21,207,,,,,,2,,3,22,1200000,396,1,36,,,
,Sub Total (Corruption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NARCOTICS/DRUGS,32,25,5,2,12,,,,2,2,,,,,,,,,,2,,,,,,,,,,,29,5,1,,500000,500000
87,Heroin,32,25,5,2,12,,,,2,2,,,,,,,,,,2,,,,,,,,,,,29,5,1,,500000,500000
88,Cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Herbal Cannabis,9,,,9,99,,,,9,,5,,5,,5,,,,,5,5,,,,,,,,,,,,,,,
91,Other Narcotics(general),7,1,3,3,4,1,,,2,2,,1,,1,,,,,,2,7,,1,,,7,,,,120500000,,,,,,
,Sub Total(Narcotics),679,104,88,487,531,188,2,87,210,655,14,28,,260,10,10,,6,106,305,206,,3,,,5,,18,48,250000,508,1,36,,,
,OTHER  LAWS,2195,469,286,1440,1549,597,15,225,603,2693,63,85,9,993,12,23,,17,443,1362,615,26,9,,,26,,76,276,3980001,1790,19,101,,850000,
93,Immigration Act,2890,574,377,1939,2183,786,17,312,824,3350,82,114,14,1254,27,33,,23,549,1674,819,26,13,,,38,,94,324,124730001,2299,20,138,,850000,
94,NEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fish and Crocodiles Act,472,45,84,343,362,242,2,13,86,1139,24,267,134,857,43,235,14,5,18,392,608,,7,,,438,,93,3,230000000,363,,8,,,
96,Firearms Act,306,113,78,115,125,59,2,11,43,286,1,27,3,107,3,12,5,3,24,163,27,,,,,67,,15,17,20700000,258,,32,,6600000,
97,Enguli Act,642,91,155,396,428,231,5,55,105,855,4,27,,499,,12,,10,136,229,269,1,4,,,77,,127,33,10220000,633,,3,,,
98,UWA Statute,109,38,23,48,54,17,,3,28,61,1,2,1,20,,,,,4,41,17,1,,,,1,,1,,16000000,95,,2,,,
99,Local Government Act,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
100,All other Acts,648,112,89,447,485,269,8,26,144,609,7,17,,377,,11,,10,42,193,249,3,4,,,107,,15,10,172222000,608,,8,,26000000,26000000
,Sub Total(Other Laws),4,2,1,1,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,4,,,,,
,GRAND TOTAL,821,345,189,287,430,173,7,19,93,641,12,76,,323,8,44,,1,56,297,121,2,3,,,120,21,41,60,69060000,710,10,62,9,241790000,440000
,,3006,749,620,1637,1885,991,24,127,500,3592,49,416,138,2183,54,314,19,29,280,1316,1291,7,18,,,810,21,292,123,518202000,2676,10,115,9,274390000,26440000
,,238746,90763,74948,73035,101116,22263,1248,11121,38411,79083,2355,5988,596,24716,812,1944,223,1666,12518,46143,17138,274,823,31,,1967,83,2976,4373,1270978007,143880,10772,60648,24184,495067703285,60589926327
